username,followers_count,following_count,tweet_count,listed_count,topic_id,twitter_user_id,retrieved_date
yamyummy,101103,840,233450,43,2,100221994,3/30/2023
thecuriousdan2,13233,187,29764,12,11,1409042869378191365,3/30/2023
HappyBongbongus,2878,306,936,5,11,939812855783636995,3/30/2023
iLawclub,239454,315,21633,373,11,61760897,3/30/2023
NaomiNeo_,416537,599,40814,161,11,57034487,3/30/2023
speishi,162512,60,68644,70,13,91573146,3/30/2023
Jinnyboy,278756,765,26421,193,12,18917343,3/30/2023
dmingthing,10312,261,32091,36,13,87653986,3/30/2023
toshrock,293237,546,28776,132,13,67577830,3/30/2023
JoakimGomez,18790,1286,33955,25,13,325059717,3/30/2023
mingasaur,4557,419,27092,12,13,76295041,3/30/2023
DanialRon,11326,1032,75505,32,5,65365894,3/30/2023
fayhokulani,5853,265,8877,96,4,17357808,3/30/2023
WildpipM,593453,554,4290,951,11,1122732866,3/30/2023
djhollyj,3206,101,3212,18,7,54016272,3/30/2023
narellekheng,12576,481,1151,30,10,146437142,3/30/2023
sezairi,51041,690,21264,129,8,36800569,3/30/2023
cram_box,119805,786,43937,1317,9,172385031,3/30/2023
DesmondDoss555,15710,102,1320,208,14,1400453100217913351,3/30/2023
Sun_Paisan,5897,519,7103,16,9,1153563669285916672,3/30/2023
AlfieJapanorama,10441,2638,107019,234,1,81983730,3/30/2023
MangteC,1477005,45,1331,274,1,334430754,3/30/2023
NicolDavid,305020,308,5630,330,1,58233846,3/30/2023
virenrasquinha,179807,909,6610,137,1,160244513,3/30/2023
SakshiMalik,538420,192,1016,210,1,728173090027520000,3/30/2023
ararewoman,3882,3113,19167,18,1,764628864140189696,3/30/2023
cottoncandyme7,1389,490,14757,1,12,367138498,3/30/2023
DrShawnPaul,3492,1750,3076,7,5,1444499792189542400,3/30/2023
HugeJackoNFT,5059,639,691,3,12,158790527,3/30/2023
_LoveMy_Beautyy,3001,1764,92076,5,12,1529672863,3/30/2023
ThaiTrainGuide,6108,17,3365,46,12,1519829986752208897,3/30/2023
PaprikaGirl_JP,10341,1416,38285,107,1,946669879385456640,3/30/2023
heyitssharla,156448,196,52301,540,9,555702683,3/30/2023
mrjeffu,14336,2364,9235,223,5,15709520,3/30/2023
kawaiihanachiya,23629,24394,39152,96,5,141734114,3/30/2023
noealz,46576,3344,19747,592,3,283244090,3/30/2023
JJ_Lin,1081163,123,9017,1331,3,25497636,3/30/2023
marklee4444,5455,420,1736,11,5,1513141364350889989,3/30/2023
veratheape,30523,1758,3356,107,3,1357202360292941826,3/30/2023
Jungkook_SNS,75109,156,25599,751,5,1226493993141145601,3/30/2023
nameweemusic,15908,933,3996,92,11,194521830,3/30/2023
nuishow,339024,822,72478,1173,1,14697365,3/30/2023
anaraffali,370540,771,22079,340,1,28177296,3/30/2023
AvaniLekhara,62519,129,558,37,10,836484306126139392,3/30/2023
mirabai_chanu,431934,421,2231,140,15,997046099088166912,3/30/2023
lakshya_sen,60471,64,607,48,13,932617429208915969,3/30/2023
dhruvkapilaa,832,142,115,6,7,2341671930,3/30/2023
zicoofficial_,151433,117,2787,19,5,1385295014507384834,3/30/2023
TrulyNoah,165019,322,17594,66,5,519332561,3/30/2023
syasyapuff,664,673,17614,8,3,25503818,3/30/2023
Real_n3xt,9110,1049,22147,44,9,3087421864,3/30/2023
